"sum","season","state_id","election_id","candidate_name"
"852","Kharif     ","Goa",1484,"HARISHCHANDRA SUDHAKAR NAIK"
"656","Winter     ","Kerala",2985,"NOTA"
"920","Summer     ","Kerala",3069,"DR.T.M.THOMAS ISSAC"
"921","Winter     ","Kerala",3103,"SUNILKUMAR SON OF PRABHAKARAN"
"656","Winter     ","Kerala",3073,"K.C.THOMAS"
"919","Autumn     ","Kerala",3062,"N S K PURAM SASIKUMAR"
"920","Summer     ","Kerala",2978,"SUDHAKARAN. K S/O. P GOPALAN"
"655","Summer     ","Kerala",3055,"KOZHUVASSERIL SURESH"
"654","Autumn     ","Kerala",3119,"NOTA"
"656","Winter     ","Kerala",3085,"NOTA"
"919","Autumn     ","Kerala",2950,"ARUN EDATHADAN"
"655","Summer     ","Kerala",2928,"K.RADHAKRISHNAN"
"920","Summer     ","Kerala",2966,"ADV. JOICE GEORGE"
"656","Winter     ","Kerala",2997,"M MUKESH"
"655","Summer     ","Kerala",2924,"SATHEESH SHENOI"
"655","Summer     ","Kerala",2967,"ADV. SANGEETHA VISWANATHAN"
"919","Autumn     ","Kerala",3095,"NANDAVANAM SUSEELAN"
"656","Winter     ","Kerala",2926,"JYOTHI ABRAHAM"
"919","Autumn     ","Kerala",2943,"PROF C RAVEENDRANATH"
"654","Autumn     ","Kerala",2969,"JOMON JOHN"
"581","Kharif     ","Goa",1473,"SHAKEEL JAMAL SHAIKH"
"655","Summer     ","Kerala",2920,"ARJUNAN"
"581","Kharif     ","Goa",1485,"NOTA"
"656","Winter     ","Kerala",3098,"NOTA"
"656","Winter     ","Kerala",2966,"ADV. JOICE GEORGE"
"656","Winter     ","Kerala",2954,"HIBI EDEN"
"654","Autumn     ","Kerala",2984,"NARAYANA KUMAR"
"921","Winter     ","Kerala",3039,"V. VASEEF"
"919","Autumn     ","Kerala",3083,"BINDHU W/O DEVARAJAN"
"655","Summer     ","Kerala",3070,"ANIL K.ANTONY"
"654","Autumn     ","Kerala",3007,"N JAYARAJAN"
"654","Autumn     ","Kerala",2985,"NOTA"
"919","Autumn     ","Kerala",2976,"RAMACHANDRAN BAVILEERI"
"921","Winter     ","Kerala",3055,"KOZHUVASSERIL SURESH"
"919","Autumn     ","Kerala",2916,"K. C VENUGOPAL"
"654","Autumn     ","Kerala",3079,"ADV. NIVEDIDA"
"852","Kharif     ","Goa",1472,"MR SAKHARAM NAIK"
"656","Winter     ","Kerala",3063,"RAJESH K SON OF VELANKUTTY"
"656","Winter     ","Kerala",3117,"SYLAJA P"
"655","Summer     ","Kerala",3032,"SUBHA"
"656","Winter     ","Kerala",3075,"ANOOP V."
"655","Summer     ","Kerala",3006,"P KRISHNAMMAL"
"656","Winter     ","Kerala",3113,"K K SHYLAJA"
"656","Winter     ","Kerala",3028,"ARAVINDAKSHAN NAIR M. K."
"656","Winter     ","Kerala",3054,"MANTHARA VELAYUDHAN"
"654","Autumn     ","Kerala",3118,"MURALIDHARAN"
"919","Autumn     ","Kerala",3001,"GOKULAM SURESH KUMAR"
"921","Winter     ","Kerala",3049,"BAIJU KALASALA"
"919","Autumn     ","Kerala",3121,"ANNIE RAJA"
"654","Autumn     ","Kerala",2978,"SUDHAKARAN. K S/O. P GOPALAN"
"656","Winter     ","Kerala",2959,"SANDEEP RAJENDRAPRASAD"
"852","Kharif     ","Goa",1473,"SHAKEEL JAMAL SHAIKH"
"921","Winter     ","Kerala",3015,"JOSSIN K JOSEPH"
"654","Autumn     ","Kerala",3063,"RAJESH K SON OF VELANKUTTY"
"919","Autumn     ","Kerala",2991,"MANOHARAN K"
"655","Summer     ","Kerala",2954,"HIBI EDEN"
"654","Autumn     ","Kerala",2996,"N K PREMACHANDRAN"
"919","Autumn     ","Kerala",3098,"NOTA"
"919","Autumn     ","Kerala",3036,"ABDUL KAREEM K. S/O ASSAIN"
"654","Autumn     ","Kerala",3022,"MAN HOUSE MANMADHAN"
"656","Winter     ","Kerala",3040,"DR. ABDUL SALAM"
"921","Winter     ","Kerala",3026,"M. T. RAMESH"
"921","Winter     ","Kerala",3078,"K.S HAMZA"
"921","Winter     ","Kerala",3020,"SANTHOSH PULICKAL"
"656","Winter     ","Kerala",3127,"AJEEB MUHAMMED"
"655","Summer     ","Kerala",2989,"SUKUMARI M"
"654","Autumn     ","Kerala",2990,"RAJESWARI K.R"
"654","Autumn     ","Kerala",3011,"THUSHAR VELLAPPALLY"
"920","Summer     ","Kerala",3006,"P KRISHNAMMAL"
"921","Winter     ","Kerala",2969,"JOMON JOHN"
"654","Autumn     ","Kerala",3129,"NOTA"
"921","Winter     ","Kerala",3007,"N JAYARAJAN"
"921","Winter     ","Kerala",3099,"SURESH GOPI"
"920","Summer     ","Kerala",2929,"RAMYA HARIDAS"
"656","Winter     ","Kerala",3024,"M. K. RAGHAVAN"
"919","Autumn     ","Kerala",3026,"M. T. RAMESH"
"656","Winter     ","Kerala",3080,"ABDUSSAMED MALAYAMPALLI"
"920","Summer     ","Kerala",3029,"RAGHAVAN S/O NARAYANAN NAIR"
"919","Autumn     ","Kerala",3119,"NOTA"
"920","Summer     ","Kerala",2943,"PROF C RAVEENDRANATH"
"919","Autumn     ","Kerala",3000,"PREMACHANDRAN NAIR"
"921","Winter     ","Kerala",2921,"VAYALAR RAJEEVAN"
"655","Summer     ","Kerala",2997,"M MUKESH"
"919","Autumn     ","Kerala",3028,"ARAVINDAKSHAN NAIR M. K."
"919","Autumn     ","Kerala",2948,"SUBRAN K R"
"920","Summer     ","Kerala",3067,"NOTA"
"920","Summer     ","Kerala",3034,"ABDUL KAREEM S/O MAHAMMOOD"
"921","Winter     ","Kerala",2947,"BOSCO KALAMASSERY"
"655","Summer     ","Kerala",2930,"DR T N SARASU"
"919","Autumn     ","Kerala",2960,"CYRILL SKARIA"
"654","Autumn     ","Kerala",3106,"PRATHAPAN"
"654","Autumn     ","Kerala",3051,"SANTHOSH PALATHUMPADAN"
"921","Winter     ","Kerala",3113,"K K SHYLAJA"
"920","Summer     ","Kerala",2949,"DR M PRADEEPAN"
"656","Winter     ","Kerala",3082,"HAMSA S/O MOIDUTTY"
"920","Summer     ","Kerala",2939,"SANTHOSH K"
"656","Winter     ","Kerala",2939,"SANTHOSH K"
